Player,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,37.0,LAL,NBA,C,79.0,79.0,33.3,9.2,15.3,0.599,0.0,0.0,0.0,9.2,15.3,0.6,0.599,3.7,5.0,0.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0,1530000.0
1,30.0,PHO,NBA,PF,82.0,69.0,26.0,5.8,11.2,0.52,0.0,0.0,0.0,5.8,11.2,0.52,0.52,3.0,3.5,0.883,1.9,4.2,6.1,3.8,1.4,0.6,2.4,3.1,14.7,500000.0
2,25.0,DAL,NBA,SF,80.0,79.0,33.7,9.9,19.6,0.506,0.3,1.1,0.318,9.6,18.6,0.517,0.515,5.5,7.3,0.759,2.4,3.6,6.0,3.1,0.8,0.3,3.2,3.1,25.7,800000.0
3,25.0,BOS,NBA,SG,75.0,73.0,34.2,5.6,10.6,0.529,0.2,0.7,0.268,5.4,9.8,0.549,0.539,1.6,1.8,0.868,1.0,2.6,3.6,5.3,1.6,0.1,2.0,3.0,12.9,400000.0
4,24.0,CLE,NBA,PG,81,65,29.6,4.2,8.6,.488,0.0,0.3,.115,4.1,8.2,.502,.490,1.5,2.1,.749,0.7,2.9,3.6,8.6,1.6,0.1,2.6,1.6,9.9,209000.0
5,23.0,UTA,NBA,PF,80,68,31.0,6.3,12.9,.490,0.0,0.0,1.000,6.3,12.9,.490,.491,2.5,2.9,.842,1.9,4.7,6.6,1.7,0.6,1.3,1.9,2.7,15.2,225000.0
6,30.0,WSB,NBA,SF,82,77,32.5,5.7,11.9,.480,0.2,0.6,.304,5.5,11.4,.488,.487,1.5,1.8,.795,1.8,4.6,6.5,2.5,1.2,0.4,1.3,2.7,13.1,350000.0
7,25.0,SAS,NBA,SF,82.0,41.0,25.5,3.5,6.0,0.586,0.0,0.0,0.333,3.5,6.0,0.588,0.587,2.4,3.1,0.774,1.6,3.8,5.4,2.9,0.8,0.2,1.7,2.7,9.5,265000.0
8,21.0,PHI,NBA,PF,82.0,60.0,28.6,5.2,9.5,0.545,0.0,0.1,0.167,5.2,9.5,0.548,0.546,3.6,4.9,0.733,3.2,5.3,8.6,1.9,1.2,1.0,2.5,3.7,14.0,307000.0
9,30.0,DET,NBA,C,72,35,19.5,2.8,5.5,.506,0.0,0.0,.000,2.8,5.5,.510,.506,1.1,1.3,.809,1.4,3.1,4.5,1.3,0.7,0.6,0.9,2.9,6.6,270000.0
10,28.0,BOS,NBA,SF,80,77,39.5,11.5,22.0,0.522,0.7,1.6,0.427,10.8,20.4,0.529,0.538,5.0,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,1800000.0
11,29.0,NJN,NBA,SG,56.0,45.0,32.9,8.8,17.3,0.511,0.1,0.4,0.19,8.8,16.9,0.518,0.513,2.9,4.6,0.622,1.1,1.6,2.6,4.1,1.5,0.1,2.1,2.6,20.6,1075000.0
12,25.0,DAL,NBA,SG,81,80,35.0,7.7,15.2,.508,0.1,0.2,.300,7.6,14.9,.512,.511,4.2,5.1,.828,1.3,2.4,3.7,3.6,0.8,0.2,2.0,1.2,19.7,215000.0
13,24.0,MIL,NBA,C,78.0,0.0,13.9,2.1,4.1,0.511,0.0,0.0,0.0,2.1,4.1,0.511,0.511,1.1,1.6,0.701,1.2,2.1,3.3,0.5,0.3,1.1,0.8,2.3,5.3,167000.0
14,31.0,LAC,NBA,SF,80.0,15.0,25.5,5.8,12.4,0.465,0.2,0.5,0.359,5.6,11.9,0.469,0.472,2.3,2.6,0.879,0.7,2.2,2.9,2.1,0.6,0.2,1.5,1.6,13.9,350000.0
15,26.0,ATL,NBA,C,69.0,5.0,11.8,1.1,2.8,0.406,0.0,0.0,0.0,1.1,2.8,0.406,0.406,0.6,1.0,0.574,1.1,2.1,3.2,0.4,0.3,0.3,0.7,1.7,2.8,160000.0
16,25.0,DAL,NBA,C,56.0,35.0,15.4,1.2,2.6,0.453,0.0,0.0,0.0,1.2,2.6,0.453,0.453,0.5,0.8,0.682,1.3,3.0,4.3,1.5,0.4,0.4,0.8,2.0,2.9,130000.0
17,30.0,BOS,NBA,PG,75.0,6.0,11.4,1.0,2.6,0.383,0.0,0.0,0.0,1.0,2.6,0.385,0.383,0.4,0.7,0.64,0.3,0.8,1.2,2.0,0.8,0.0,0.9,1.9,2.4,239000.0
18,34.0,KCK,NBA,PG,65.0,14.0,14.4,1.3,3.1,0.404,0.5,1.3,0.356,0.8,1.8,0.44,0.48,0.4,0.5,0.767,0.3,0.6,0.9,3.1,0.6,0.0,0.7,1.2,3.4,130000.0
19,22.0,DET,NBA,SF,56,0,11.2,2.3,4.7,.496,0.0,0.0,.000,2.3,4.7,.498,.496,1.0,1.3,.800,0.7,0.9,1.6,0.4,0.5,0.1,1.2,1.9,5.6,110000.0
20,29.0,POR,NBA,PF,48.0,30.0,23.3,4.0,7.6,0.523,0.0,0.1,0.0,4.0,7.5,0.528,0.523,2.5,3.4,0.72,1.9,4.9,6.7,1.2,0.5,0.4,2.1,2.9,10.4,465000.0
